"id","main_id","ra","dec","distance_ly","x","y","z","spectral_type","diameter_solar","diameter_km","temperature","mass"
"676","CD-24  6144","118.545344672852","-25.3031728632356","58.0","-25.0565","46.0613","-24.7897","M0","0.5","696000.0","3000.0","0.3"
"677","BD+21  1764B","122.056653013017","21.1026946750492","58.0","-28.7195","45.8598","20.8824","M3.0V","0.38","528960.0","3000.0","0.3"
"678","* tau06 Eri","56.7120304943742","-23.2497228029747","58.01","29.2531","44.554","-22.8988","F5IV-V","1.35","1879200.0","6500.0","1.3"
"679","2MASSI J0354200-143738","58.58373156844","-14.62738044253","58.03","29.2679","47.9179","-14.6544","M6.5V","0.26","361920.0","3000.0","0.3"
"680","G 139-3","254.6050315","13.9696598","58.04","-14.9523","-54.3024","14.0113","M4.0Ve","0.34","473280.0","3000.0","0.3"
"681","* iot Pav","272.60897375283","-62.00222005056","58.04","1.2402","-27.2179","-51.2473","G0V","1.1","1531200.0","5500.0","1.0"
"682","G 125-23","294.68223961083","33.19325308855","58.05","20.2854","-44.1397","31.7803","M4","0.34","473280.0","3000.0","0.3"
"683","2MASS J16154245+0546400","243.92690016615","5.77779545742","58.06","-25.3887","-51.8865","5.8449","M9","0.14","194880.0","3000.0","0.3"
"684","LP  754-5","299.349184523924","-12.5639503392383","58.06","27.7756","-49.3961","-12.6297","M5V","0.3","417600.0","3000.0","0.3"
"685","UPM J0900+7522","135.05371134295","75.37283293589","58.07","-10.3789","10.3595","56.1879","dM5.0","","","",""
"686","G  31-39","4.23456921382042","5.12400142377806","58.08","57.69","4.2715","5.1872","M4V","0.34","473280.0","3000.0","0.3"
"687","BD+05   127","14.43563196524","5.85572693216","58.09","55.9625","14.4058","5.9266","M0.0V","0.5","696000.0","3000.0","0.3"
"688","StKM 1-1049","197.23175219785","49.08039951555","58.11","-36.3536","-11.2754","43.9096","M0","0.5","696000.0","3000.0","0.3"
"689","G 268-131","17.3280268447679","-24.5065787034019","58.11","50.4754","15.7484","-24.1039","M4V","0.34","473280.0","3000.0","0.3"
"690","SCR J0753-2524","118.485910431576","-25.40041111664","58.12","-25.0403","46.1455","-24.9301","DA10","","","",""
"691","Ross  226","343.589596490502","60.9954491922433","58.12","27.0331","-7.9616","50.8307","M3V","0.38","528960.0","3000.0","0.3"
"692","LSPM J1437+7536S","219.30227611849","75.61210167952","58.13","-11.1773","-9.1493","56.3068","sdM3.0","","","",""
"693","G   9-11","129.283158956211","15.1293121902614","58.13","-35.5295","43.4346","15.1718","M3.0V","0.38","528960.0","3000.0","0.3"
"694","BD+36  2322","194.417737431517","35.2248970036375","58.13","-45.9905","-11.8235","33.5286","M0V+M4/5V","0.5","696000.0","3000.0","0.3"
"695","* alf Com","197.497021685696","17.5294552616622","58.14","-52.875","-16.6684","17.5115","F5V+F6V","1.35","1879200.0","6500.0","1.3"
"696","2MASS J08200075-6622150","125.003164","-66.370842","58.14","-13.3673","19.0883","-53.2655","L9.5","","","",""
"697","BPS CS 31060-0015","3.99197318246","-16.61600853478","58.14","55.5771","3.8785","-16.6255","M4.1V","0.34","473280.0","3000.0","0.3"
"698","EGGR 155","342.273128290233","22.60888653912","58.16","51.1412","-16.3477","22.3589","DA4.7","","","",""
"699","LSPM J1437+7536N","219.28848092769","75.61583341409","58.16","-11.1825","-9.149","56.3368","M2.0V","0.42","584640.0","3000.0","0.3"
"700","LP  496-48","193.711625146643","11.9873641608203","58.16","-55.2704","-13.4853","12.0796","M6V","0.26","361920.0","3000.0","0.3"
"701","HD 132683","225.180888761883","-11.1351302824803","58.17","-40.2304","-40.4853","-11.234","K8Vk","0.58","807360.0","4000.0","0.7"
"702","LSR J0328+1129","52.1443476837258","11.4976894203028","58.18","34.9871","45.0147","11.5969","M8","0.18","250560.0","3000.0","0.3"
"703","* iot Cen","200.14922006504","-36.712304581225","58.18","-43.7854","-16.0659","-34.7798","kA1.5hA3mA3Va","0.7","974400.0","4000.0","0.7"
"704","LP  390-16","273.27738165331","26.03107203732","58.2","2.9898","-52.2104","25.5416","M4.0V","0.34","473280.0","3000.0","0.3"
