id,main_id,ra,dec,distance_ly,x,y,z,spectral_type,diameter_solar,diameter_km,temperature,mass,luminosity,r,g,b
822,HD   1461,4.674448649133749,-8.053001063860556,76.33,75.325,6.159,-10.693,G3VFe0.5,1.657,2306009.0,5440.0,0.79,0.43862,255,236,220
823,PM J16120+0318N,243.0209227165,3.3148332401000005,96.36,-43.644,-85.733,5.572,M3.5V,0.878,1221577.0,2780.0,0.357,0.02722,255,169,93
824,G 227-22,270.5691827808592,64.26228933348445,25.42,0.11,-11.038,22.899,M5.0V,1.15,1601478.0,2600.0,0.501,0.08899,255,162,79
825,HD  45289,96.10145940231168,-42.8475182106739,90.76,-7.073,66.165,-61.722,G2V,1.637,2278540.0,5560.0,0.778,0.41622,255,238,224
826,LP  798-51,208.22279982819626,-18.338018894046943,73.63,-61.58,-33.05,-23.165,M2Vk:,1.232,1715063.0,2960.0,0.546,0.1201,255,175,107
827,* sig Ser,245.51811756525996,1.02904350912,91.78,-38.026,-83.511,1.648,F1IV,2.05,2853953.0,6880.0,1.032,1.11468,246,244,255
828,HD 211369,334.41427712384,-48.65049353007,84.62,50.422,-24.143,-63.523,K2.5Vk:,0.895,1246131.0,4200.0,0.366,0.02969,255,210,175
829,G 217-32,1.9282856000000002,60.381730600000004,47.55,23.484,0.791,41.333,M4.0V,1.399,1948007.0,2720.0,0.64,0.20967,255,167,89
830,LP  276-22,251.631367119535,34.58199466840556,38.82,-10.073,-30.336,22.036,M6.0V,0.76,1057642.0,2480.0,0.298,0.01449,255,158,68
831,HD  21175,50.89689779001,-40.07637907303,57.67,27.832,34.244,-37.128,K0V,0.852,1185342.0,4500.0,0.344,0.02386,255,217,187
832,* i Boo,225.94706519512025,47.65406187958964,40.8,-19.108,-19.75,30.152,G0Vn,1.571,2186350.0,5800.0,0.739,0.34741,255,242,231
833,L  715-38,326.68967746997,-21.29637476897,50.79,39.544,-25.986,-18.445,M4.0V,1.339,1863846.0,2720.0,0.606,0.17283,255,167,89
834,V* CC Eri,38.59402578732,-43.79635253336,37.66,21.245,16.956,-26.063,K7V,0.872,1213758.0,3660.0,0.354,0.02646,255,196,149
835,2MASS J09332625-4353366,143.35934373624,-43.89346715001,57.24,-33.1,24.619,-39.688,M6V,1.357,1888294.0,2480.0,0.616,0.18297,255,158,68
836,* kap Phe,6.550838931848333,-43.67983065874444,78.17,56.166,6.45,-53.989,A5IVn,3.915,5449549.0,8400.0,2.315,18.88642,216,226,255
